run,sha,binary_sha256,driver_sha256,quality_sha256,mode,protocol,trace,valid_normal_sample,invalid_environment_frames,case,setup_ms,setup_records,wall_p50,wall_p95,wall_p99,wall_max,wall_count,over_33,over_100,longest_over_33,memory_p50,memory_p95,memory_p99,memory_max,memory_count,records_first,records_last,records_maximum,proxies_first,proxies_last,proxies_maximum,caps_first,caps_last,caps_maximum,textures_first,textures_last,textures_maximum,mids_first,mids_last,mids_maximum,fine_bytes_first,fine_bytes_last,fine_bytes_maximum,working_set_first,working_set_last,working_set_maximum,uobjects_first,uobjects_last,uobjects_maximum,rhi_texture_bytes_first,rhi_texture_bytes_last,rhi_texture_bytes_maximum
PerformanceAudit_FinalFrame01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,FastSweep160,187.55130000135978,64,14.683000001241453,15.940399996907217,17.227299998921808,408.53530000094906,300,1,1,1,0.1264,0.193,0.372,211.8944,300,64,0,64,64,0,64,64,0,64,64,0,64,192,0,192,21217280,0,21217280,3367546880,3346935808,3402928128,54983,54983,54983,1942761472,1942761472,1942761472
PerformanceAudit_FinalFrame01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,PartialNewThenRepeat,2.4505999972461723,0,15.077100000780774,22.092700000939658,32.915700001467485,38.96039999744971,600,5,0,1,3.3925,5.4456999999999995,17.750400000000003,24.64,600,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,3809280,3809280,3363602432,3374817280,3377577984,55037,55037,55037,1942761472,1952067584,1952067584
PerformanceAudit_FinalFrame01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,StationaryStop,3.1457000004593283,1,14.954199999920093,16.450900002382696,17.433000000892207,24.402099999861093,600,0,0,0,0.1723,1.5546,2.8024,7.4656,600,2,2,2,2,2,2,1,1,1,6,6,6,4,4,4,3809280,5062656,5062656,3374919680,3381547008,3381547008,55144,55144,55144,1952067584,1952473088,1952473088
PerformanceAudit_FinalFrame02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,Empty,0.11269999959040433,0,16.18840000082855,18.81199999843375,19.632399998954497,40.24969999954919,300,1,0,1,0.1613,0.2097,0.2665,0.29460000000000003,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240566784,3311456256,3328188416,53499,53499,53499,1934995456,1934897152,1934995456
PerformanceAudit_FinalFrame02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,FastSweep160,188.88940000033472,64,14.784900002268841,16.034700001910096,16.73550000123214,409.2421999994258,300,1,1,1,0.1255,0.1805,0.2246,211.0065,300,64,0,64,64,0,64,64,0,64,64,0,64,192,0,192,21217280,0,21217280,3369598976,3335278592,3395072000,54983,54983,54983,1942761472,1942761472,1942761472
PerformanceAudit_FinalFrame02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,PartialNewThenRepeat,2.137600000423845,0,15.006199999334058,21.69109999886132,31.78519999710261,38.09000000183005,600,5,0,1,3.2681,5.476100000000001,15.5869,24.502599999999997,600,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,3809280,3809280,3352129536,3373932544,3385303040,55037,55037,55037,1942761472,1952067584,1952067584
PerformanceAudit_FinalFrame02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,StationaryStop,3.605899997637607,1,14.87239999914891,16.250699998636264,17.046699998900294,24.78759999939939,600,0,0,0,0.18059999999999998,1.5620999999999998,2.8235,7.614199999999999,600,2,2,2,2,2,2,1,1,1,6,6,6,4,4,4,3809280,5062656,5062656,3374153728,3368914944,3376799744,55144,55144,55144,1952067584,1952473088,1952473088
PerformanceAudit_FinalFrame03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,Empty,0.1126000024669338,0,16.178000001673354,18.59899999908521,20.05759999883594,21.181700001761783,300,0,0,0,0.15969999999999998,0.2061,0.2705,0.3325,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3256164352,3318378496,3318378496,53499,53499,53499,1934995456,1934897152,1934995456
PerformanceAudit_FinalFrame03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,FastSweep160,188.8883000028727,64,14.79520000066259,16.32419999805279,17.80280000093626,424.34050000156276,300,2,1,2,0.1259,0.18769999999999998,0.2506,226.2931,300,64,0,64,64,0,64,64,0,64,64,0,64,192,0,192,21217280,0,21217280,3386368000,3343020032,3393769472,54983,54983,54983,1942761472,1942761472,1942761472
PerformanceAudit_FinalFrame03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,PartialNewThenRepeat,2.342700001463527,0,15.244500002154382,21.940499998891028,32.80720000111614,40.096799999446375,600,5,0,1,3.3624,5.4234,16.5581,25.4765,600,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,3809280,3809280,3359883264,3365928960,3365928960,55037,55037,55037,1942761472,1952067584,1952067584
PerformanceAudit_FinalFrame03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,StationaryStop,3.1980000021576416,1,15.1387000005343,16.55870000104187,17.49019999988377,25.736799998412607,600,0,0,0,0.1695,1.5138,2.9074,9.9828,600,2,2,2,2,2,2,1,1,1,6,6,6,4,4,4,3809280,5062656,5062656,3366072320,3370385408,3374542848,55144,55144,55144,1952067584,1952473088,1952473088
PerformanceAudit_FinalLongRun01,8f26fdfbe4340d134aa685e375929af8ebb5af9f,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,LongRun,False,True,0,ActualNewKnowledge,6.542099999933271,0,15.38059999802499,19.059100002777996,28.49430000060238,32.10929999841028,360,0,0,0,0.2374,3.1096999999999997,10.6469,12.4501,360,1,6,6,1,6,6,0,0,0,4,9,9,3,18,18,0,7520256,7520256,3250008064,3345346560,3413331968,53694,53759,53759,1935302656,1937268736,1937268736
PerformanceAudit_FinalLongRun01,8f26fdfbe4340d134aa685e375929af8ebb5af9f,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,LongRun,False,True,0,LongInteraction,6.334500001685228,0,14.135199999145698,15.991300002497155,17.538399999466492,160.7293999986723,42663,18,5,1,0.1441,4.3273,5.3041,30.0404,42663,1,2,4,1,2,3,1,1,2,2,12,14,1,4,5,0,2818048,6627328,3363123200,3754786816,3754786816,53904,53999,53999,1946574848,1939058688,1960042496
